ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
7,1995,6,22.0,1.11,0.34,0.17,0.78,0.068,0.020,5.49,4.80,0.021,0.41,0.0025,5.2
7,1995,7,7.9,1.15,0.43,0.16,1.18,0.044,0.020,6.05,5.04,0.010,0.42,0.0030,6.8
7,1995,8,85.8,1.06,0.35,0.13,0.82,0.061,0.020,5.54,4.70,0.010,0.34,0.0033,5.4
7,1995,9,4.7,1.17,0.46,0.17,1.35,0.040,0.027,6.13,5.15,0.010,0.44,0.0020,7.5
7,1995,10,207.1,1.00,0.31,0.23,0.69,0.071,0.014,5.27,4.44,0.014,0.59,0.0020,4.8
7,1995,11,162.4,0.97,0.26,0.17,0.62,0.087,0.012,5.18,4.27,0.116,0.63,0.0013,4.3
7,1995,12,15.1,1.12,0.39,0.17,0.89,0.049,0.016,5.81,4.49,0.280,0.50,0.0021,5.4
7,1996,1,166.9,1.05,0.34,0.17,0.76,0.061,0.005,5.29,4.15,0.937,0.58,0.0009,4.5
7,1996,2,80.1,1.07,0.35,0.18,0.79,0.072,0.005,5.40,4.26,0.716,0.59,0.0007,4.8
7,1996,3,30.2,1.09,0.36,0.18,0.81,0.047,0.005,5.62,4.31,0.560,0.58,0.0011,5.1
7,1996,4,280.9,0.89,0.25,0.18,0.59,0.118,0.005,5.08,3.90,0.789,0.52,0.0021,3.3
7,1996,5,269.8,0.80,0.21,0.16,0.51,0.123,0.011,5.04,3.77,0.356,0.42,0.0022,3.0
7,1996,6,65.4,0.97,0.28,0.16,0.72,0.071,0.013,5.21,4.24,0.010,0.38,0.0016,4.5
7,1996,7,166.1,0.90,0.24,0.11,0.64,0.092,0.005,5.22,4.04,0.010,0.27,0.0014,4.2
7,1996,8,7.6,1.03,0.32,0.12,0.91,0.059,0.005,5.71,4.49,0.010,0.32,0.0014,5.6
7,1996,9,1.9,1.12,0.44,0.17,1.49,0.038,0.012,6.32,5.09,0.010,0.47,0.0017,7.8
7,1996,10,86.9,0.87,0.26,0.48,0.60,0.106,0.005,4.98,3.93,0.030,0.60,0.0047,4.0
7,1996,11,94.5,0.97,0.29,0.20,0.69,0.061,0.006,5.46,4.16,0.031,0.58,0.0012,4.5
7,1996,12,158.5,0.88,0.25,0.19,0.59,0.109,0.020,5.11,3.70,0.345,0.45,0.0005,3.5
7,1997,1,27.7,1.01,0.31,0.16,0.74,0.077,0.016,5.44,4.07,0.322,0.42,0.0005,4.4
7,1997,2,27.6,1.05,0.35,0.17,0.79,0.068,0.007,5.57,4.13,0.379,0.42,0.0005,4.7
7,1997,3,47.2,1.00,0.32,0.17,0.72,0.067,0.009,5.42,4.07,0.432,0.42,0.0005,4.3
7,1997,4,184.8,0.89,0.25,0.14,0.60,0.100,0.006,5.12,3.81,0.521,0.34,0.0005,3.6
7,1997,5,282.9,0.79,0.21,0.14,0.51,0.120,0.005,5.08,3.67,0.323,0.24,0.0005,3.3
7,1997,6,28.5,0.97,0.31,0.18,0.79,0.075,0.029,5.80,4.20,0.016,0.30,0.0006,4.9
7,1997,7,72.4,0.99,0.31,0.15,0.81,0.092,0.018,5.78,4.11,0.021,0.30,0.0007,5.4
7,1997,8,15.8,1.04,0.35,0.15,1.01,0.063,0.007,6.07,4.42,0.013,0.32,0.0020,6.2
7,1997,9,14.8,1.08,0.38,0.18,0.99,0.014,0.018,6.14,4.29,0.005,0.35,0.0023,6.1
7,1997,10,22.6,1.05,0.38,0.27,0.91,0.016,0.032,5.94,4.30,0.016,0.35,0.0014,5.6
7,1997,11,107.7,0.92,0.27,0.20,0.66,0.095,0.006,5.29,4.05,0.068,0.39,0.0018,4.6
7,1997,12,16.0,1.15,0.40,0.15,0.91,0.005,0.009,6.10,4.33,0.183,0.36,0.0005,5.7
7,1998,1,79.1,0.98,0.31,0.19,0.65,0.094,0.005,5.36,3.77,0.830,0.32,0.0036,4.1
7,1998,2,36.6,1.12,0.36,0.16,0.81,0.007,0.005,5.72,4.20,0.356,0.35,0.0006,5.3
