ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
3,1963,6,7.5,2.33,0.43,0.14,1.40,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,7,1.4,2.37,0.46,0.20,1.63,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,8,3.1,2.49,0.51,0.24,1.52,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,9,0.7,2.73,0.60,0.48,1.82,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,10,1.1,2.89,0.74,1.57,1.96,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,11,82.4,2.31,0.46,0.39,1.02,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,12,57.7,1.76,0.38,0.21,0.94,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,1,56.2,1.88,0.37,0.17,1.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,2,18.6,1.88,0.38,0.18,1.16,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,3,92.5,1.91,0.39,0.19,0.94,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,4,253.0,1.80,0.36,0.19,0.81,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,5,71.4,1.98,0.36,0.18,1.19,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,6,2.9,1.70,0.41,0.16,1.35,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,7,6.1,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,8,10.5,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,9,0.8,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,10,3.7,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,11,44.3,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,12,71.2,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,1,24.1,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,2,28.4,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,3,37.2,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,4,177.8,1.66,0.41,0.21,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,5,32.8,1.34,0.37,0.17,1.11,-3.000,-3.000,5.38,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,6,13.9,1.43,0.41,0.16,1.15,-3.000,-3.000,5.38,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,7,2.3,1.70,0.44,0.18,1.48,-3.000,-3.000,5.57,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,8,0.8,1.81,0.56,0.26,1.98,-3.000,-3.000,5.45,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,9,35.2,1.83,0.46,0.15,1.57,-3.000,-3.000,5.59,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,10,80.0,1.72,0.38,0.14,1.08,-3.000,-3.000,5.32,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,11,87.9,1.61,0.39,0.12,1.11,-3.000,-3.000,5.12,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1965,12,27.3,1.68,0.40,0.13,1.18,-3.000,-3.000,5.13,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1966,1,38.8,1.70,0.42,0.13,1.17,-3.000,-3.000,5.25,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1966,2,22.1,1.69,0.42,0.15,1.25,-3.000,-3.000,5.32,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1966,3,117.3,1.68,0.42,0.19,1.11,-3.000,-3.000,5.17,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1966,4,179.7,1.58,0.39,0.17,0.92,-3.000,-3.000,4.75,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1966,5,100.5,1.47,0.37,0.17,0.96,-3.000,-3.000,4.78,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1966,6,34.3,1.51,0.40,0.14,1.16,-3.000,-3.000,5.13,-3.00,-3.000,-3.00,-3.0000,-3.0
