ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
5,1963,6,9.2,2.15,0.35,0.15,1.03,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,7,1.2,2.17,0.42,0.22,1.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,8,3.0,2.12,0.40,0.17,1.01,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,9,0.3,2.30,0.53,0.25,1.34,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,10,0.3,2.77,0.83,0.83,1.69,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,11,86.9,2.20,0.47,0.47,0.86,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,12,61.6,1.62,0.37,0.24,0.79,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,1,59.3,1.65,0.36,0.18,0.88,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,2,25.5,1.66,0.35,0.19,0.91,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,3,98.2,1.68,0.38,0.25,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,4,235.8,1.71,0.36,0.21,0.72,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,5,82.5,1.50,0.34,0.20,0.82,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,6,5.2,1.55,0.35,0.10,0.92,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,7,11.8,1.34,0.20,0.11,0.91,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,8,18.4,1.17,0.43,0.12,0.98,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,9,0.8,1.30,0.44,0.14,1.20,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,10,6.7,0.99,0.45,0.36,1.48,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,11,54.1,1.14,0.42,0.25,0.96,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,12,84.2,1.02,0.40,0.31,0.82,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,1,38.3,0.99,0.38,0.42,0.87,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,2,41.3,0.96,0.38,0.20,0.82,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,3,50.0,0.97,0.41,0.18,0.95,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,4,192.4,1.15,0.37,0.20,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,5,48.7,1.24,0.34,0.18,0.80,-3.000,-3.000,5.29,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,6,15.8,1.22,0.38,0.09,1.01,-3.000,-3.000,5.30,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,7,4.1,1.39,0.38,0.10,1.02,-3.000,-3.000,5.29,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,8,0.2,1.51,0.51,0.22,1.36,-3.000,-3.000,5.42,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,9,35.6,1.60,0.44,0.13,1.10,-3.000,-3.000,5.33,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,10,74.7,1.58,0.38,0.19,0.86,-3.000,-3.000,5.26,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,11,87.8,1.49,0.39,0.19,0.91,-3.000,-3.000,5.11,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1965,12,34.8,1.51,0.39,0.15,0.98,-3.000,-3.000,5.12,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,1,35.5,1.59,0.42,0.15,0.97,-3.000,-3.000,5.19,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,2,25.9,1.51,0.41,0.18,1.03,-3.000,-3.000,5.28,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,3,118.7,1.58,0.42,0.22,0.89,-3.000,-3.000,5.19,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,4,184.7,1.53,0.39,0.21,0.79,-3.000,-3.000,4.78,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,5,122.3,1.36,0.36,0.22,0.76,-3.000,-3.000,4.81,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,6,40.7,1.32,0.36,0.11,0.93,-3.000,-3.000,5.03,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,7,8.8,1.41,0.41,0.09,0.93,-3.000,-3.000,5.01,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,8,27.5,1.51,0.43,0.28,0.83,-3.000,-3.000,4.90,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,9,24.1,1.37,0.40,0.06,0.96,-3.000,-3.000,4.91,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,10,49.7,1.31,0.40,0.19,0.92,-3.000,-3.000,4.74,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,11,129.6,1.37,0.35,0.16,0.82,-3.000,-3.000,4.93,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1966,12,58.5,1.38,0.37,0.14,0.89,-3.000,-3.000,5.03,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1967,1,28.5,1.46,0.39,0.14,0.97,-3.000,-3.000,4.67,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1967,2,18.2,1.43,0.40,0.16,1.04,-3.000,-3.000,4.65,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1967,3,46.9,1.46,0.40,0.22,0.93,-3.000,-3.000,4.53,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1967,4,246.7,1.53,0.37,0.25,0.69,-3.000,-3.000,4.46,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1967,5,138.7,1.42,0.35,0.23,0.77,-3.000,-3.000,4.64,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1967,6,27.0,1.32,0.35,0.14,0.98,-3.000,-3.000,4.65,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1967,7,12.8,1.36,0.35,0.07,1.01,-3.000,-3.000,4.82,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1967,8,12.4,1.58,0.34,0.08,0.92,-3.000,-3.000,4.95,-3.00,-3.000,-3.00,-3.0000,-3.0
