ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
1,1963,6,6.7,2.19,0.35,0.05,0.92,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,7,0.6,2.15,0.37,0.08,0.93,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,8,1.2,2.01,0.40,0.30,1.12,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,9,0.1,1.95,0.48,1.32,1.41,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,10,0.8,1.95,0.48,1.32,1.41,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,11,79.9,2.27,0.45,0.49,0.84,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1963,12,58.6,1.63,0.40,0.28,0.83,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,1,58.2,1.73,0.39,0.22,0.98,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,2,19.7,1.76,0.39,0.23,0.95,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,3,103.3,1.79,0.42,0.32,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,4,247.8,1.75,0.38,0.30,0.71,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,5,71.1,1.90,0.38,0.23,0.81,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,6,3.4,1.49,0.37,0.16,0.81,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,7,4.9,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,8,10.1,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,9,0.7,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,10,3.2,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,11,48.4,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1964,12,81.7,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,1,24.6,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,2,27.1,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,3,46.9,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,4,162.6,1.48,0.37,0.18,0.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,5,29.1,1.42,0.37,0.22,0.85,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,6,8.2,1.31,0.38,0.06,0.95,-3.000,-3.000,5.02,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,7,2.2,1.50,0.38,0.06,0.99,-3.000,-3.000,5.20,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,8,0.2,1.35,0.42,0.04,1.23,-3.000,-3.000,4.76,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,9,33.3,1.62,0.42,0.05,1.11,-3.000,-3.000,5.16,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,10,72.8,1.67,0.39,0.18,0.82,-3.000,-3.000,5.20,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,11,85.4,1.54,0.41,0.20,0.88,-3.000,-3.000,5.01,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1965,12,27.5,1.64,0.42,0.18,0.96,-3.000,-3.000,4.98,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,1,39.5,1.72,0.44,0.19,0.89,-3.000,-3.000,5.00,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,2,19.3,1.75,0.44,0.20,1.01,-3.000,-3.000,5.07,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,3,136.1,1.68,0.44,0.24,0.87,-3.000,-3.000,4.98,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,4,163.9,1.64,0.41,0.27,0.77,-3.000,-3.000,4.69,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,5,92.5,1.48,0.39,0.27,0.79,-3.000,-3.000,4.68,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,6,29.3,1.52,0.40,0.11,0.89,-3.000,-3.000,4.91,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,7,4.9,1.58,0.43,0.05,0.98,-3.000,-3.000,4.76,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,8,20.3,1.68,0.40,0.27,0.73,-3.000,-3.000,4.79,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,9,21.4,1.47,0.39,0.02,0.80,-3.000,-3.000,4.70,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,10,46.2,1.40,0.41,0.19,0.89,-3.000,-3.000,4.75,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,11,121.8,1.54,0.38,0.16,0.82,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1966,12,53.0,1.55,0.41,0.14,0.88,-3.000,-3.000,4.96,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1967,1,22.5,1.71,0.42,0.15,0.95,-3.000,-3.000,4.43,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1967,2,16.8,1.71,0.43,0.15,1.00,-3.000,-3.000,4.42,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1967,3,55.1,1.69,0.41,0.25,0.86,-3.000,-3.000,4.46,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1967,4,258.4,1.72,0.40,0.31,0.69,-3.000,-3.000,4.51,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1967,5,110.1,1.63,0.39,0.29,0.77,-3.000,-3.000,4.40,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1967,6,18.2,1.60,0.38,0.15,0.91,-3.000,-3.000,4.56,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1967,7,6.3,1.60,0.39,0.09,1.00,-3.000,-3.000,4.60,-3.00,-3.000,-3.00,-3.0000,-3.0
1,1967,8,8.5,1.67,0.36,0.08,0.89,-3.000,-3.000,4.65,-3.00,-3.000,-3.00,-3.0000,-3.0
