ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
4,1963,6,10.0,2.30,0.41,0.10,1.30,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1963,7,2.7,2.21,0.40,0.11,1.34,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1963,8,5.9,2.48,0.43,0.11,1.49,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1963,9,1.0,2.44,0.48,0.11,1.98,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1963,10,2.2,2.51,0.56,0.36,2.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1963,11,80.9,2.68,0.47,0.48,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1963,12,61.7,2.06,0.42,0.30,1.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,1,66.0,2.14,0.40,0.23,1.19,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,2,23.8,2.11,0.39,0.25,1.22,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,3,100.7,2.87,0.41,0.28,1.02,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,4,268.9,2.65,0.40,0.25,1.05,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,5,80.4,2.65,0.40,0.25,1.05,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,6,6.1,1.88,0.38,0.11,1.28,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,7,13.4,1.70,0.47,0.09,1.35,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,8,16.6,1.48,0.46,0.09,1.14,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,9,1.9,1.68,0.44,0.06,1.68,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,10,7.1,1.24,0.49,0.45,1.80,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,11,51.5,1.69,0.45,0.28,1.32,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1964,12,76.8,1.41,0.43,0.28,1.11,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1965,1,28.6,1.34,0.44,0.24,1.15,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1965,2,32.8,1.24,0.43,0.28,1.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1965,3,42.0,1.31,0.46,0.21,1.23,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1965,4,187.8,1.57,0.39,0.28,0.99,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1965,5,36.3,1.65,0.36,0.26,1.11,-3.000,-3.000,6.25,-3.00,-3.000,-3.00,-3.0000,-3.0
4,1965,6,15.6,1.49,0.40,0.11,1.35,0.101,0.084,5.48,5.94,0.009,0.45,-3.0000,6.3
4,1965,7,4.7,1.76,0.43,0.08,1.49,0.116,0.201,5.58,6.18,0.075,0.41,-3.0000,6.6
4,1965,8,1.7,1.62,0.41,0.07,1.89,0.089,0.127,6.01,5.83,0.073,0.45,-3.0000,8.6
4,1965,9,34.9,2.06,0.45,0.09,1.68,0.058,0.055,6.23,6.79,0.067,0.50,-3.0000,8.4
4,1965,10,69.8,2.13,0.41,0.20,1.23,0.124,0.093,5.95,7.09,0.083,0.50,-3.0000,5.8
