ws,year,mo,precip,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
5,1963,6,67.5,0.30,0.07,0.10,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,7,70.1,0.29,0.06,0.11,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,8,147.0,0.19,0.04,0.08,0.04,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,9,39.8,0.20,0.08,0.52,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,10,29.8,0.60,0.13,0.89,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,11,209.5,0.18,0.09,0.41,0.14,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1963,12,72.9,0.11,0.02,0.42,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,1,118.5,0.08,0.02,0.04,0.13,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,2,46.6,0.14,0.04,0.06,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,3,141.6,0.22,0.04,0.05,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,4,108.1,0.53,0.09,0.06,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,5,99.6,0.48,0.09,0.22,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
5,1964,6,57.0,0.58,0.10,0.27,0.06,-3.000,0.300,4.25,4.20,0.770,0.38,-3.0000,-3.0
5,1964,7,128.8,0.29,0.04,0.21,0.07,-3.000,0.104,3.88,6.67,1.164,0.45,-3.0000,-3.0
5,1964,8,152.8,0.23,0.02,0.12,0.05,-3.000,0.133,4.38,2.10,0.133,0.14,-3.0000,-3.0
5,1964,9,37.4,0.60,0.36,0.22,0.21,-3.000,0.389,3.24,5.50,1.347,6.24,-3.0000,-3.0
5,1964,10,52.6,1.07,0.54,0.38,1.37,-3.000,0.100,4.07,1.48,0.032,12.85,-3.0000,-3.0
5,1964,11,116.6,0.28,0.30,0.15,0.50,-3.000,0.054,4.21,2.30,0.387,4.19,-3.0000,-3.0
5,1964,12,115.8,0.16,0.06,0.03,0.07,-3.000,0.076,4.49,1.90,0.945,0.17,-3.0000,-3.0
5,1965,1,64.3,0.12,0.03,0.03,0.14,-3.000,0.839,4.63,1.96,0.565,0.43,-3.0000,-3.0
5,1965,2,102.4,0.16,0.04,0.05,0.18,-3.000,0.098,4.41,1.72,0.339,0.61,-3.0000,-3.0
5,1965,3,28.7,0.44,0.10,0.15,0.29,-3.000,0.121,4.22,2.89,1.117,0.93,-3.0000,-3.0
5,1965,4,83.1,0.20,0.03,0.11,0.09,-3.000,0.547,4.22,3.81,1.496,0.51,-3.0000,-3.0
5,1965,5,24.8,0.66,0.30,0.23,0.46,-3.000,0.069,4.29,4.85,1.205,10.92,-3.0000,-3.0
5,1965,6,111.0,0.16,0.10,0.05,0.10,-3.000,0.042,4.13,3.96,0.368,4.93,-3.0000,-3.0
