ws,year,mo,precip,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
5,1965,7,97.4,0.16,0.20,0.07,0.19,-3.000,0.294,4.20,4.13,0.196,7.07,-3.0000,-3.0
5,1965,8,86.0,0.12,0.02,0.03,0.27,-3.000,0.130,4.09,4.25,1.120,0.90,-3.0000,-3.0
5,1965,9,196.0,0.12,0.02,0.02,0.12,-3.000,0.087,4.15,3.33,0.882,1.03,-3.0000,-3.0
5,1965,10,126.0,0.23,0.04,0.05,0.10,-3.000,0.169,4.26,2.67,1.255,1.81,-3.0000,-3.0
5,1965,11,151.8,0.22,0.03,0.06,0.07,-3.000,0.266,4.18,3.18,1.805,0.56,-3.0000,-3.0
5,1965,12,74.9,0.10,0.03,0.08,0.12,-3.000,0.372,4.10,3.47,2.704,0.47,-3.0000,-3.0
5,1966,1,72.3,0.14,0.02,0.05,0.12,-3.000,0.124,4.18,1.58,2.008,0.44,-3.0000,-3.0
5,1966,2,63.4,0.05,0.01,0.02,0.08,-3.000,0.143,4.33,1.53,0.683,0.20,-3.0000,-3.0
5,1966,3,123.9,0.14,0.03,0.03,0.13,-3.000,0.201,4.29,2.21,1.389,0.32,-3.0000,-3.0
5,1966,4,68.2,0.20,0.02,0.04,0.09,-3.000,0.546,3.98,4.53,3.110,0.32,-3.0000,-3.0
5,1966,5,93.6,0.85,0.05,0.06,0.45,-3.000,0.350,4.04,5.16,2.354,0.91,-3.0000,-3.0
5,1966,6,114.3,0.15,0.03,0.07,0.10,-3.000,0.189,4.14,3.97,1.406,0.39,-3.0000,-3.0
5,1966,7,99.5,0.31,0.05,0.06,0.11,-3.000,0.144,3.87,6.05,2.124,1.69,-3.0000,-3.0
5,1966,8,198.0,0.13,0.02,0.01,0.04,-3.000,0.131,4.07,3.55,1.053,0.86,-3.0000,-3.0
5,1966,9,118.4,0.18,0.03,0.02,0.08,-3.000,0.117,4.25,2.72,0.995,1.20,-3.0000,-3.0
5,1966,10,85.6,0.31,0.03,0.02,0.10,-3.000,0.123,3.98,2.63,0.990,4.45,-3.0000,-3.0
5,1966,11,142.7,0.14,0.03,0.04,0.16,-3.000,0.175,4.00,2.37,1.468,2.91,-3.0000,-3.0
5,1966,12,103.6,0.04,0.01,0.02,0.07,-3.000,0.030,4.32,0.99,0.789,0.84,-3.0000,-3.0
5,1967,1,59.9,0.14,0.04,0.08,0.20,-3.000,0.266,4.07,3.12,2.585,0.59,-3.0000,-3.0
5,1967,2,110.8,0.06,0.02,0.10,0.11,-3.000,0.123,4.44,1.58,1.464,0.41,-3.0000,-3.0
5,1967,3,55.6,0.26,0.04,0.05,0.09,-3.000,0.306,4.08,3.76,2.098,0.61,-3.0000,-3.0
5,1967,4,145.2,0.09,0.02,0.03,0.05,-3.000,0.194,4.15,2.75,1.461,0.58,-3.0000,-3.0
5,1967,5,117.1,0.15,0.04,0.07,0.06,-3.000,0.369,4.11,3.48,1.825,1.11,-3.0000,-3.0
5,1967,6,81.9,0.16,0.03,0.07,0.04,-3.000,0.423,4.03,5.40,1.553,0.75,-3.0000,-3.0
5,1967,7,115.0,0.12,0.04,0.03,0.35,-3.000,0.298,3.87,4.96,1.979,0.55,-3.0000,-3.0
5,1967,8,134.7,0.26,0.05,0.07,0.04,-3.000,0.171,4.02,4.01,1.334,0.25,-3.0000,-3.0
5,1967,9,140.6,0.05,0.02,0.03,0.06,-3.000,0.142,4.28,2.28,0.797,0.22,-3.0000,-3.0
5,1967,10,122.9,0.09,0.06,0.15,0.22,-3.000,0.266,4.25,2.77,1.637,0.59,-3.0000,-3.0
5,1967,11,117.1,0.16,0.16,0.04,0.15,-3.000,0.219,4.34,1.80,1.909,0.33,-3.0000,-3.0
5,1967,12,156.4,0.06,0.02,0.01,0.12,-3.000,0.091,4.39,1.87,1.509,0.30,-3.0000,-3.0
5,1968,1,77.3,0.11,0.02,0.05,0.10,-3.000,0.300,4.04,3.31,2.855,0.30,-3.0000,-3.0
5,1968,2,65.5,0.25,0.15,0.07,0.29,-3.000,0.065,4.21,1.92,2.256,0.33,-3.0000,-3.0
5,1968,3,99.6,0.23,0.07,0.04,0.32,-3.000,0.109,4.22,2.53,1.421,0.36,-3.0000,-3.0
5,1968,4,119.3,0.80,0.17,0.21,0.22,-3.000,0.249,4.32,2.61,1.185,0.38,-3.0000,-3.0
5,1968,5,214.0,0.08,0.02,0.07,0.04,-3.000,0.232,4.01,3.99,1.674,0.29,-3.0000,-3.0
5,1968,6,161.8,0.12,0.03,0.06,0.03,-3.000,0.283,4.05,3.87,1.257,0.65,-3.0000,-3.0
5,1968,7,57.2,0.19,0.05,0.08,0.05,-3.000,0.392,3.91,5.63,1.660,0.50,-3.0000,-3.0
5,1968,8,52.4,0.11,0.04,0.03,0.08,-3.000,0.590,3.93,4.29,1.810,1.09,-3.0000,-3.0
5,1968,9,73.3,0.12,0.07,0.04,0.20,-3.000,0.310,4.01,3.02,0.943,0.49,-3.0000,-3.0
5,1968,10,77.7,0.07,0.08,0.18,0.42,-3.000,0.126,4.28,1.34,0.480,1.04,-3.0000,-3.0
5,1968,11,135.1,0.10,0.02,0.04,0.03,-3.000,0.158,4.40,1.52,1.057,0.19,-3.0000,-3.0
5,1968,12,201.1,0.04,0.01,0.01,0.02,-3.000,0.133,4.41,1.13,0.978,0.14,-3.0000,-3.0
5,1969,1,79.6,0.08,0.02,0.04,0.15,-3.000,0.190,4.30,1.81,1.438,0.32,-3.0000,-3.0
5,1969,2,180.6,0.04,0.03,0.01,0.03,-3.000,0.160,4.69,0.75,0.419,0.10,-3.0000,-3.0
5,1969,3,91.1,0.23,0.04,0.06,0.12,-3.000,0.351,3.93,4.13,2.408,0.44,-3.0000,-3.0
5,1969,4,94.5,0.21,0.03,0.05,0.12,-3.000,0.297,3.96,3.77,2.111,0.47,-3.0000,-3.0
5,1969,5,105.6,0.32,0.04,0.10,0.28,-3.000,0.353,4.04,3.50,1.527,0.49,-3.0000,-3.0
5,1969,6,91.2,0.24,0.06,0.15,0.12,-3.000,0.486,4.10,3.24,1.251,0.33,-3.0000,-3.0
5,1969,7,195.9,0.11,0.02,0.03,0.06,-3.000,0.231,4.01,3.28,1.289,0.23,-3.0000,-3.0
5,1969,8,142.7,0.10,0.02,0.02,0.02,-3.000,0.328,4.16,2.03,0.617,0.64,-3.0000,-3.0
5,1969,9,46.6,0.13,0.02,0.13,0.04,-3.000,0.341,4.14,3.25,0.964,0.34,-3.0000,-3.0
5,1969,10,64.3,0.17,0.02,0.11,0.06,-3.000,0.240,4.16,2.70,0.785,0.52,-3.0000,-3.0
5,1969,11,150.1,0.08,0.05,0.06,0.33,-3.000,0.159,4.17,2.25,0.643,0.65,-3.0000,-3.0
5,1969,12,201.1,0.19,0.02,0.02,0.19,-3.000,0.124,4.16,1.21,2.358,0.24,-3.0000,-3.0
5,1970,1,25.4,0.12,0.03,0.04,0.18,-3.000,0.210,4.14,2.18,2.168,0.24,-3.0000,-3.0
5,1970,2,99.7,0.18,0.04,0.04,0.19,-3.000,0.189,4.22,1.82,1.960,0.29,-3.0000,-3.0
5,1970,3,112.0,0.07,0.02,0.02,0.06,-3.000,0.194,4.15,2.01,1.633,0.12,-3.0000,-3.0
5,1970,4,96.9,0.26,0.04,0.04,0.08,-3.000,0.285,4.18,2.51,1.603,0.13,-3.0000,-3.0
5,1970,5,92.6,0.35,0.07,0.20,0.15,-3.000,0.227,4.18,2.47,0.891,0.39,-3.0000,-3.0
5,1970,6,98.7,0.10,0.02,0.04,0.03,-3.000,0.670,3.96,3.89,1.202,0.27,-3.0000,-3.0
5,1970,7,64.8,0.27,0.07,0.26,0.08,-3.000,0.562,3.88,5.58,2.618,0.14,-3.0000,-3.0
5,1970,8,159.6,0.19,0.05,0.22,0.06,-3.000,0.509,3.96,4.17,2.067,0.15,-3.0000,-3.0
5,1970,9,139.4,0.05,0.01,0.08,0.03,-3.000,0.282,3.94,3.34,1.638,0.30,-3.0000,-3.0
5,1970,10,103.9,0.07,0.03,0.04,0.18,-3.000,0.504,3.70,3.87,3.219,0.91,-3.0000,-3.0
5,1970,11,94.1,0.08,0.04,0.05,0.32,-3.000,0.205,4.26,2.05,1.151,0.48,-3.0000,-3.0
5,1970,12,145.0,0.11,0.02,0.10,0.07,-3.000,0.118,4.28,1.54,1.285,0.60,-3.0000,-3.0
5,1971,1,88.4,0.11,0.02,0.06,0.07,-3.000,0.065,4.26,1.46,2.507,0.32,-3.0000,-3.0
5,1971,2,124.7,0.11,0.03,0.02,0.14,-3.000,0.346,4.40,1.67,1.455,0.30,-3.0000,-3.0
5,1971,3,99.9,0.13,0.03,0.03,0.05,-3.000,0.085,4.36,0.95,1.530,0.26,-3.0000,-3.0
5,1971,4,52.2,0.61,0.27,0.09,0.25,-3.000,0.465,3.90,4.90,3.128,0.42,-3.0000,-3.0
5,1971,5,117.9,0.20,0.04,0.10,0.09,-3.000,0.472,3.84,5.71,2.585,0.62,-3.0000,-3.0
5,1971,6,67.5,0.14,0.02,0.05,0.02,-3.000,0.418,3.97,4.92,1.657,0.34,-3.0000,-3.0
5,1971,7,147.8,0.11,0.02,0.02,0.05,-3.000,0.310,4.13,3.79,1.273,0.22,-3.0000,-3.0
5,1971,8,119.8,0.04,0.02,0.01,0.12,-3.000,0.070,4.74,0.90,0.230,0.25,-3.0000,-3.0
5,1971,9,74.5,0.04,0.02,0.02,0.10,-3.000,0.290,4.04,2.43,1.362,0.98,-3.0000,-3.0
5,1971,10,105.9,0.13,0.06,0.04,0.31,-3.000,0.100,4.03,2.40,1.790,1.10,0.0100,-3.0
5,1971,11,108.6,0.08,0.03,0.01,0.13,-3.000,0.092,4.11,2.64,2.259,0.41,0.0040,-3.0
5,1971,12,120.8,0.07,0.02,0.02,0.06,-3.000,0.141,4.27,1.98,1.892,0.27,0.0030,-3.0
5,1972,1,71.7,0.10,0.02,0.03,0.14,-3.000,0.170,4.21,2.32,2.117,0.35,0.0120,-3.0
5,1972,2,75.5,0.14,0.03,0.02,0.17,-3.000,0.178,4.18,1.45,2.681,0.36,0.0150,-3.0
5,1972,3,173.9,0.05,0.06,0.02,0.07,-3.000,0.178,4.28,2.10,1.588,0.18,0.0130,-3.0
5,1972,4,83.1,0.23,0.03,0.03,0.06,-3.000,0.484,4.01,4.22,2.516,0.20,0.0120,-3.0
5,1972,5,88.8,0.14,0.04,0.06,0.10,-3.000,0.439,3.95,3.55,2.301,0.44,0.0100,-3.0
5,1972,6,124.3,0.13,0.04,0.11,0.17,-3.000,0.238,4.02,2.94,1.410,0.82,0.0380,-3.0
5,1972,7,161.2,0.07,0.01,0.02,0.02,-3.000,0.254,4.04,3.48,1.400,0.17,0.0150,-3.0
5,1972,8,163.9,0.07,0.02,0.02,0.06,-3.000,0.273,3.99,4.08,1.937,0.22,0.0220,-3.0
5,1972,9,48.1,0.09,0.02,0.05,0.10,-3.000,0.346,3.95,4.59,2.341,0.82,0.0210,-3.0
5,1972,10,92.2,0.09,0.04,0.07,0.22,-3.000,0.164,4.24,2.21,1.638,0.67,0.0130,-3.0
5,1972,11,169.9,0.04,0.03,0.02,0.06,-3.000,0.067,4.30,1.82,1.196,0.24,0.0040,-3.0
5,1972,12,186.8,0.09,0.10,0.03,0.08,-3.000,0.046,4.31,2.13,1.283,0.22,0.0050,-3.0
5,1973,1,114.8,0.06,0.02,0.02,0.17,-3.000,0.105,4.41,1.67,1.232,0.31,0.0080,-3.0
5,1973,2,68.8,0.03,0.01,0.02,0.07,-3.000,0.047,4.21,1.19,1.008,1.02,0.0010,-3.0
5,1973,3,92.4,0.12,0.03,0.03,0.13,-3.000,0.102,4.23,2.25,1.371,0.83,0.0040,-3.0
5,1973,4,108.1,0.05,0.03,0.03,0.17,-3.000,0.069,4.32,1.71,1.347,0.29,0.0220,-3.0
5,1973,5,176.5,0.05,0.01,0.04,0.03,-3.000,0.134,4.19,2.40,1.507,0.43,0.0050,-3.0
5,1973,6,364.3,0.05,0.01,0.03,0.08,-3.000,0.161,4.19,3.39,1.540,0.18,0.0060,-3.0
5,1973,7,86.3,0.22,0.04,0.05,0.03,-3.000,0.440,4.04,4.63,1.951,0.24,0.0060,-3.0
5,1973,8,115.9,0.07,0.01,0.03,0.03,-3.000,0.211,4.10,4.00,1.390,0.26,0.0040,-3.0
5,1973,9,145.0,0.07,0.02,0.03,0.05,-3.000,0.256,3.97,5.01,2.127,0.23,0.0040,-3.0
5,1973,10,97.7,0.26,0.05,0.27,0.07,-3.000,0.438,4.18,3.08,2.550,0.44,0.0170,-3.0
5,1973,11,131.8,0.17,0.03,0.04,0.10,-3.000,0.343,4.09,3.21,2.992,0.21,0.0080,-3.0
5,1973,12,283.6,0.05,0.01,0.02,0.10,-3.000,0.055,4.64,0.88,0.682,0.22,0.0060,-3.0
5,1974,1,112.5,0.07,0.01,0.03,0.06,-3.000,0.143,4.31,1.90,1.690,0.23,0.0040,-3.0
5,1974,2,89.3,0.09,0.01,0.01,0.08,-3.000,0.088,4.38,1.63,1.354,0.20,0.0020,-3.0
5,1974,3,128.2,0.15,0.03,0.03,0.13,-3.000,0.140,4.37,1.92,1.810,0.24,0.0020,-3.0
5,1974,4,141.6,0.19,0.03,0.04,0.08,-3.000,0.224,4.13,2.68,1.779,0.29,0.0050,-3.0
5,1974,5,163.2,0.12,0.03,0.05,0.05,-3.000,0.270,4.09,3.43,1.488,0.25,0.0210,-3.0
5,1974,6,122.7,0.07,0.02,0.04,0.07,-3.000,0.120,4.17,2.51,1.094,0.29,0.0060,-3.0
5,1974,7,107.1,0.15,0.03,0.07,0.04,-3.000,0.314,4.04,4.38,1.544,0.19,0.0160,-3.0
5,1974,8,136.7,0.04,0.01,0.03,0.02,-3.000,0.157,4.05,4.07,1.184,0.13,0.0140,-3.0
5,1974,9,168.6,0.03,0.02,0.03,0.05,-3.000,0.130,4.16,2.86,1.120,0.41,0.0030,-3.0
5,1974,10,47.8,0.35,0.06,0.75,0.12,-3.000,0.595,3.87,6.75,2.978,0.71,0.0090,-3.0
5,1974,11,118.0,0.01,0.01,0.08,0.06,-3.000,0.115,4.33,1.57,1.267,0.26,0.0040,-3.0
5,1974,12,101.5,0.03,0.05,0.03,0.34,-3.000,0.103,4.31,1.95,1.682,0.61,0.0030,-3.0
5,1975,1,106.6,0.05,0.02,0.02,0.09,-3.000,0.076,4.41,1.41,1.594,0.25,0.0060,-3.0
5,1975,2,83.2,0.06,0.01,0.02,0.05,-3.000,0.102,4.33,1.59,1.837,0.21,0.0050,-3.0
5,1975,3,144.6,0.10,0.07,0.03,0.49,-3.000,0.165,4.26,2.58,1.985,0.88,0.0030,-3.0
5,1975,4,56.1,0.24,0.03,0.04,0.08,-3.000,0.513,4.13,4.05,2.511,0.33,0.0050,-3.0
5,1975,5,39.0,0.31,0.06,0.11,0.05,-3.000,0.514,3.77,5.23,3.785,0.63,0.0470,-3.0
5,1975,6,161.9,0.05,0.01,0.03,0.03,-3.000,0.137,4.14,2.67,1.382,0.19,0.0060,-3.0
5,1975,7,180.8,0.02,0.01,0.01,0.03,-3.000,0.118,4.17,2.57,1.353,0.14,0.0030,-3.0
5,1975,8,94.9,0.12,0.02,0.02,0.03,-3.000,0.172,3.96,4.19,1.735,0.22,0.0080,-3.0
5,1975,9,165.7,0.07,0.01,0.01,0.03,-3.000,0.096,4.23,2.38,0.930,0.15,0.0030,-3.0
5,1975,10,142.3,0.12,0.01,0.01,0.02,-3.000,0.012,4.81,0.78,0.180,0.10,0.0030,-3.0
5,1975,11,140.8,0.03,0.01,0.01,0.04,-3.000,0.087,4.30,1.37,1.383,0.20,0.0060,-3.0
5,1975,12,116.3,0.03,0.01,0.01,0.05,-3.000,0.061,4.50,1.15,0.929,0.23,0.0030,-3.0
5,1976,1,144.9,0.01,0.02,0.02,0.16,-3.000,0.109,4.17,2.10,2.197,0.39,0.0100,-3.0
5,1976,2,127.8,0.06,0.02,0.02,0.08,-3.000,0.137,4.34,1.81,1.596,0.17,0.0070,-3.0
5,1976,3,113.2,0.28,0.04,0.03,0.16,-3.000,0.271,4.13,2.91,3.121,0.38,0.0030,-3.0
5,1976,4,83.2,0.05,0.02,0.05,0.03,-3.000,0.195,4.30,3.00,0.871,0.13,0.0100,-3.0
5,1976,5,191.2,0.07,0.03,0.09,0.04,-3.000,0.261,4.21,3.19,1.342,0.17,0.0330,-3.0
5,1976,6,112.9,0.07,0.02,0.02,0.06,-3.000,0.130,4.19,3.04,1.306,0.22,0.0060,-3.0
5,1976,7,107.0,0.08,0.02,0.04,0.03,-3.000,0.172,4.12,3.47,1.356,0.30,0.0130,-3.0
5,1976,8,145.9,0.05,0.02,0.03,0.07,-3.000,0.167,4.15,2.91,1.242,0.19,0.0110,-3.0
5,1976,9,133.4,0.07,0.03,0.03,0.10,-3.000,0.210,4.08,3.70,1.983,0.23,0.0070,-3.0
5,1976,10,197.3,0.02,0.01,0.05,0.02,-3.000,0.095,4.40,1.70,1.128,0.13,0.0050,-3.0
5,1976,11,72.6,0.11,0.02,0.03,0.08,-3.000,0.269,4.10,2.57,2.722,0.59,0.0170,-3.0
5,1976,12,104.6,0.17,0.03,0.02,0.14,-3.000,0.135,4.24,1.30,2.559,0.55,0.0200,-3.0
5,1977,1,79.4,0.03,0.01,0.02,0.05,-3.000,0.114,4.32,1.15,2.236,0.62,0.0060,-3.0
5,1977,2,80.9,0.06,0.01,0.02,0.10,-3.000,0.373,4.13,2.01,2.908,0.74,0.0080,-3.0
5,1977,3,159.8,0.08,0.01,0.01,0.05,-3.000,0.100,4.49,1.20,0.886,0.43,0.0090,-3.0
5,1977,4,110.9,0.25,0.05,0.03,0.07,-3.000,0.212,4.24,2.33,2.768,0.23,0.0110,-3.0
5,1977,5,37.8,0.33,0.07,0.11,0.05,-3.000,0.252,4.07,4.49,2.591,0.38,0.0150,-3.0
5,1977,6,130.5,0.13,0.04,0.11,0.03,-3.000,0.196,4.00,4.39,2.022,0.25,0.0130,-3.0
5,1977,7,71.6,0.06,0.02,0.02,0.02,-3.000,0.199,3.90,4.75,2.602,0.25,0.0080,-3.0
5,1977,8,96.3,0.12,0.03,0.03,0.03,-3.000,0.327,3.71,7.48,3.941,0.18,0.0090,-3.0
5,1977,9,197.3,0.04,0.02,0.04,0.06,-3.000,0.093,4.25,2.09,1.196,0.11,0.0090,-3.0
5,1977,10,190.6,0.05,0.02,0.12,0.02,-3.000,0.068,4.40,1.45,0.948,0.27,0.0080,-3.0
5,1977,11,110.6,0.05,0.05,0.04,0.32,-3.000,0.099,4.25,1.87,1.427,0.53,0.0060,-3.0
5,1977,12,137.7,0.03,0.01,0.02,0.03,-3.000,0.055,4.50,1.01,1.031,0.13,0.0060,-3.0
5,1978,1,236.4,0.03,0.02,0.01,0.10,-3.000,0.022,4.65,0.85,0.590,0.29,0.0050,-3.0
5,1978,2,37.7,0.07,0.02,0.01,0.07,-3.000,0.031,4.43,0.83,0.903,0.41,0.0060,-3.0
5,1978,3,71.4,0.16,0.05,0.02,0.24,-3.000,0.107,4.09,2.88,2.599,0.61,0.0110,-3.0
5,1978,4,76.4,0.20,0.05,0.02,0.20,-3.000,0.480,3.89,4.44,3.441,0.66,0.0140,-3.0
5,1978,5,108.7,0.09,0.02,0.03,0.03,-3.000,0.243,4.11,3.15,1.676,0.17,0.0080,-3.0
5,1978,6,143.6,0.09,0.02,0.03,0.02,-3.000,0.233,4.06,3.88,1.675,0.13,0.0140,-3.0
5,1978,7,53.0,0.12,0.03,0.05,0.01,-3.000,0.242,3.94,4.83,1.935,0.19,0.0160,-3.0
5,1978,8,92.4,0.11,0.02,0.04,0.01,-3.000,0.228,3.99,4.34,1.588,0.16,0.0230,-3.0
5,1978,9,36.6,0.04,0.02,0.03,0.07,-3.000,0.552,3.95,4.67,2.041,0.32,0.0080,-3.0
5,1978,10,94.1,0.07,0.03,0.35,0.19,-3.000,0.163,4.10,2.43,2.113,0.40,0.0090,-3.0
5,1978,11,64.9,0.02,0.02,0.01,0.05,-3.000,0.070,4.36,1.41,1.094,0.23,0.0090,-3.0
5,1978,12,109.2,0.04,0.02,0.01,0.05,-3.000,0.066,4.37,1.08,1.945,0.26,0.0110,-3.0
5,1979,1,225.0,0.01,0.01,0.01,0.02,-3.000,0.028,4.50,0.60,1.128,0.13,0.0090,-3.0
5,1979,2,58.8,0.04,0.03,0.02,0.10,-3.000,0.105,4.13,2.66,1.443,0.20,0.0380,-3.0
5,1979,3,133.0,0.07,0.08,0.03,0.58,-3.000,0.211,4.05,3.02,2.117,1.14,0.0240,-3.0
5,1979,4,142.5,0.09,0.03,0.02,0.10,-3.000,0.205,4.18,2.69,1.626,0.39,0.0290,-3.0
5,1979,5,159.4,0.04,0.01,0.03,0.07,-3.000,0.230,4.18,2.69,1.966,0.15,0.0120,-3.0
5,1979,6,52.4,0.12,0.05,0.11,0.08,-3.000,0.100,4.13,3.13,1.842,0.18,0.0310,-3.0
5,1979,7,78.3,0.03,0.01,0.03,0.04,-3.000,0.120,4.04,2.69,1.442,0.18,0.0120,-3.0
5,1979,8,132.7,0.05,0.02,0.04,0.03,-3.000,0.184,4.11,3.11,1.508,0.14,0.0110,-3.0
5,1979,9,124.8,0.08,0.02,0.04,0.08,-3.000,0.061,4.36,1.43,0.812,0.27,0.0130,-3.0
5,1979,10,155.1,0.09,0.04,0.22,0.06,-3.000,0.127,4.35,1.95,1.312,0.25,0.0140,-3.0
5,1979,11,122.7,0.07,0.03,0.12,0.20,-3.000,0.269,4.09,2.75,2.768,0.43,0.0130,-3.0
5,1979,12,78.0,0.05,0.02,0.05,0.08,-3.000,0.142,4.30,1.93,1.546,0.19,0.0500,-3.0
5,1980,1,49.4,0.13,0.05,0.04,0.45,-3.000,0.114,4.34,1.29,2.032,0.80,0.0130,-3.0
5,1980,2,37.1,0.10,0.02,0.03,0.10,-3.000,0.070,4.25,1.27,2.603,0.31,0.0160,-3.0
5,1980,3,139.2,0.07,0.02,0.02,0.07,-3.000,0.161,4.34,1.49,1.594,0.19,0.0080,-3.0
5,1980,4,127.8,0.21,0.05,0.04,0.20,-3.000,0.320,4.19,3.00,1.928,0.31,0.0170,-3.0
5,1980,5,58.2,0.21,0.05,0.10,0.05,-3.000,0.404,4.20,3.08,1.817,0.18,0.0450,-3.0
5,1980,6,80.6,0.08,0.02,0.05,0.05,-3.000,0.213,4.12,2.82,1.486,0.16,0.0190,-3.0
5,1980,7,91.7,0.09,0.02,0.02,0.03,-3.000,0.204,4.10,3.46,1.643,0.17,0.0200,-3.0
5,1980,8,88.1,0.08,0.01,0.02,0.05,-3.000,0.298,4.01,4.37,1.993,0.18,0.0110,-3.0
5,1980,9,133.4,0.09,0.04,0.03,0.10,-3.000,0.290,4.04,3.85,2.110,0.18,0.0070,-3.0
5,1980,10,118.9,0.11,0.03,0.12,0.21,-3.000,0.137,4.29,1.85,1.493,0.40,0.0070,-3.0
5,1980,11,125.9,0.11,0.02,0.03,0.02,-3.000,0.177,4.41,1.15,1.812,0.10,0.0100,-3.0
5,1980,12,72.7,0.10,0.01,0.03,0.15,-3.000,0.190,4.26,1.32,2.642,0.31,0.0160,-3.0
5,1981,1,24.4,0.10,0.01,0.02,0.10,-3.000,0.081,4.04,1.03,4.879,0.53,0.0160,-3.0
5,1981,2,278.8,0.04,0.05,0.03,0.36,-3.000,0.083,4.61,0.97,0.621,0.61,0.0140,-3.0
5,1981,3,41.8,0.21,0.04,0.03,0.20,-3.000,0.242,4.16,2.01,3.496,0.31,0.0200,-3.0
5,1981,4,119.9,0.15,0.03,0.04,0.08,-3.000,0.349,4.15,3.13,1.852,0.15,0.0230,-3.0
5,1981,5,131.3,0.14,0.07,0.25,0.21,-3.000,0.284,4.25,3.12,1.391,0.35,0.2870,-3.0
5,1981,6,157.6,0.08,0.02,0.05,0.02,-3.000,0.333,4.08,3.88,1.681,0.11,0.0170,-3.0
5,1981,7,235.8,0.07,0.02,0.03,0.03,-3.000,0.143,4.31,2.28,1.152,0.10,0.0220,-3.0
5,1981,8,147.1,0.04,0.01,0.05,0.01,-3.000,0.261,4.15,3.50,0.997,0.07,0.0220,-3.0
5,1981,9,157.4,0.07,0.02,0.05,0.04,-3.000,0.335,4.18,3.07,1.499,0.11,0.0190,-3.0
5,1981,10,195.8,0.03,0.01,0.04,0.04,-3.000,0.103,4.43,1.39,1.045,0.10,0.0080,-3.0
