ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
8,1995,6,16.7,0.93,0.33,0.17,0.84,0.105,0.020,5.16,4.56,0.010,0.41,0.0040,5.4
8,1995,7,14.3,0.96,0.36,0.16,1.04,0.089,0.020,5.49,4.62,0.010,0.43,0.0040,6.8
8,1995,8,87.2,0.93,0.31,0.13,0.76,0.144,0.021,5.12,4.60,0.010,0.37,0.0040,5.7
8,1995,9,6.6,1.03,0.41,0.18,1.27,0.049,0.028,6.02,4.48,0.035,0.46,0.0040,7.5
8,1995,10,215.5,0.90,0.33,0.24,0.75,0.160,0.018,4.95,4.56,0.029,0.65,0.0030,5.5
8,1995,11,165.3,0.84,0.30,0.18,0.66,0.194,0.012,4.95,4.26,0.192,0.67,0.0020,4.7
8,1995,12,14.2,0.93,0.36,0.18,0.96,0.073,0.013,5.54,4.22,0.475,0.54,0.0030,5.8
8,1996,1,173.1,0.89,0.33,0.19,0.80,0.159,0.005,5.12,4.07,0.879,0.57,0.0020,4.9
8,1996,2,77.2,0.90,0.33,0.19,0.84,0.119,0.005,5.24,4.14,0.736,0.62,0.0010,5.1
8,1996,3,26.6,0.91,0.35,0.19,0.86,0.078,0.005,5.29,4.17,0.648,0.61,0.0020,5.3
8,1996,4,273.9,0.73,0.24,0.17,0.59,0.218,0.005,4.89,3.79,0.648,0.56,0.0030,3.3
8,1996,5,262.4,0.65,0.20,0.14,0.50,0.224,0.011,4.74,3.59,0.283,0.44,0.0030,3.0
8,1996,6,60.3,0.78,0.28,0.15,0.74,0.137,0.011,5.11,3.92,0.050,0.35,0.0020,4.7
8,1996,7,160.0,0.74,0.24,0.10,0.65,0.171,0.005,4.91,3.84,0.010,0.26,0.0030,4.6
8,1996,8,8.2,0.91,0.32,0.14,1.05,0.066,0.005,5.55,4.25,0.063,0.36,0.0030,6.5
8,1996,9,3.0,1.05,0.39,0.22,1.48,0.040,0.009,6.34,4.22,0.157,0.46,0.0030,8.0
8,1996,10,91.1,0.70,0.25,0.37,0.64,0.328,0.006,4.60,3.85,0.064,0.64,0.0060,4.5
8,1996,11,96.1,0.82,0.30,0.20,0.74,0.124,0.006,5.12,4.10,0.103,0.62,0.0020,4.9
8,1996,12,162.4,0.73,0.25,0.19,0.62,0.206,0.020,4.84,3.60,0.351,0.49,0.0020,3.8
8,1997,1,25.4,0.83,0.31,0.17,0.77,0.111,0.018,5.18,3.95,0.442,0.45,0.0010,4.8
8,1997,2,29.2,0.86,0.33,0.18,0.81,0.111,0.006,5.20,3.96,0.561,0.43,0.0010,5.1
8,1997,3,56.6,0.86,0.33,0.18,0.76,0.123,0.005,5.12,3.99,0.604,0.42,0.0010,4.8
8,1997,4,157.4,0.76,0.26,0.16,0.61,0.170,0.005,4.89,3.91,0.604,0.34,0.0010,3.9
8,1997,5,267.1,0.64,0.20,0.14,0.50,0.195,0.008,4.79,3.62,0.307,0.23,0.0010,3.2
8,1997,6,28.0,0.81,0.29,0.18,0.84,0.107,0.028,5.39,3.86,0.134,0.31,0.0010,5.2
8,1997,7,71.9,0.84,0.29,0.15,0.86,0.114,0.012,5.40,3.85,0.070,0.30,0.0030,5.9
8,1997,8,25.0,0.86,0.31,0.13,0.95,0.098,0.007,5.54,4.02,0.060,0.31,0.0040,6.5
8,1997,9,14.3,0.84,0.33,0.14,0.96,0.033,0.022,5.69,3.95,0.041,0.33,0.0030,6.5
8,1997,10,20.0,0.81,0.34,0.22,0.91,0.041,0.027,5.47,4.09,0.053,0.36,0.0020,6.3
8,1997,11,106.8,0.80,0.30,0.21,0.70,0.085,0.006,5.01,4.16,0.174,0.44,0.0030,5.2
8,1997,12,13.6,0.93,0.39,0.17,1.00,0.014,0.013,5.82,4.09,0.435,0.40,0.0010,6.4
8,1998,1,80.8,0.84,0.32,0.17,0.66,0.198,0.010,4.98,3.92,0.935,0.37,0.0020,4.6
8,1998,2,33.9,0.92,0.36,0.17,0.89,0.037,0.006,5.45,4.09,0.509,0.38,0.0020,5.8
8,1998,3,191.2,0.79,0.29,0.16,0.64,0.137,0.022,5.08,3.71,0.796,0.29,0.0020,4.5
8,1998,4,170.2,0.69,0.23,0.13,0.53,0.205,0.009,4.82,3.59,0.521,0.25,0.0020,4.1
8,1998,5,66.7,0.74,0.26,0.15,0.64,0.152,0.005,5.07,3.77,0.123,0.28,0.0030,4.7
8,1998,6,225.2,0.73,0.25,0.14,0.64,0.163,0.005,5.03,3.57,0.032,0.23,0.0030,4.7
8,1998,7,57.4,0.82,0.26,0.11,0.68,0.094,0.005,5.05,3.68,0.051,0.23,0.0010,5.3
8,1998,8,11.9,0.92,0.33,0.16,1.13,0.022,0.005,5.82,3.86,0.150,0.37,0.0040,7.2
8,1998,9,11.3,0.95,0.36,0.17,1.19,0.012,0.006,6.00,4.09,0.048,0.38,0.0030,7.8
8,1998,10,76.0,0.86,0.33,0.23,0.83,0.084,0.009,5.27,4.22,0.034,0.42,0.0030,6.4
