ws,year,mo,precip,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
3,1963,6,65.0,0.30,0.07,0.10,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,7,74.1,0.29,0.06,0.11,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,8,149.8,0.19,0.04,0.08,0.04,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,9,39.4,0.20,0.08,0.51,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,10,30.5,0.60,0.13,0.89,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,11,204.8,0.17,0.08,0.39,0.14,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1963,12,71.6,0.12,0.02,0.40,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,1,120.4,0.08,0.02,0.03,0.13,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,2,43.4,0.12,0.03,0.06,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,3,144.0,0.22,0.05,0.05,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,4,113.6,0.53,0.09,0.06,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
3,1964,5,98.2,0.49,0.09,0.22,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,0.52,-3.0000,-3.0
3,1964,6,60.3,0.58,0.10,0.27,0.06,-3.000,0.300,4.25,4.20,0.770,0.38,-3.0000,-3.0
3,1964,7,118.4,0.29,0.04,0.21,0.07,-3.000,0.104,3.88,6.64,1.161,0.45,-3.0000,-3.0
3,1964,8,149.5,0.23,0.02,0.12,0.05,-3.000,0.133,4.38,2.10,0.133,0.14,-3.0000,-3.0
3,1964,9,35.9,0.60,0.38,0.22,0.21,-3.000,0.395,3.25,5.69,1.438,6.29,-3.0000,-3.0
3,1964,10,49.8,1.05,0.54,0.36,1.38,-3.000,0.100,4.07,1.47,0.032,12.83,-3.0000,-3.0
3,1964,11,113.6,0.28,0.30,0.15,0.50,-3.000,0.054,4.21,2.30,0.389,4.26,-3.0000,-3.0
3,1964,12,115.2,0.15,0.05,0.03,0.06,-3.000,0.079,4.49,1.85,0.900,0.17,-3.0000,-3.0
3,1965,1,61.0,0.11,0.03,0.03,0.13,-3.000,0.837,4.64,1.88,0.534,0.41,-3.0000,-3.0
3,1965,2,99.8,0.17,0.04,0.05,0.19,-3.000,0.098,4.41,1.69,0.336,0.64,-3.0000,-3.0
3,1965,3,27.8,0.44,0.10,0.15,0.29,-3.000,0.121,4.22,2.89,1.116,0.93,-3.0000,-3.0
3,1965,4,82.0,0.20,0.03,0.11,0.09,-3.000,0.545,4.22,3.82,1.503,0.51,-3.0000,-3.0
3,1965,5,24.4,0.65,0.30,0.23,0.46,-3.000,0.070,4.28,4.85,1.168,10.96,-3.0000,-3.0
3,1965,6,108.1,0.16,0.10,0.05,0.10,-3.000,0.042,4.13,3.96,0.369,4.93,-3.0000,-3.0
3,1965,7,90.6,0.16,0.21,0.07,0.20,-3.000,0.304,4.20,4.16,0.206,7.48,-3.0000,-3.0
3,1965,8,88.8,0.13,0.03,0.03,0.27,-3.000,0.134,4.08,4.30,1.118,0.97,-3.0000,-3.0
3,1965,9,194.9,0.12,0.02,0.02,0.12,-3.000,0.088,4.15,3.35,0.888,1.04,-3.0000,-3.0
3,1965,10,123.3,0.23,0.04,0.05,0.10,-3.000,0.168,4.27,2.67,1.251,1.81,-3.0000,-3.0
3,1965,11,147.5,0.21,0.03,0.06,0.07,-3.000,0.266,4.19,3.17,1.795,0.56,-3.0000,-3.0
3,1965,12,72.4,0.10,0.03,0.08,0.12,-3.000,0.365,4.11,3.43,2.659,0.47,-3.0000,-3.0
3,1966,1,62.6,0.14,0.02,0.05,0.12,-3.000,0.122,4.19,1.57,1.967,0.44,-3.0000,-3.0
3,1966,2,60.2,0.05,0.01,0.02,0.08,-3.000,0.145,4.33,1.54,0.668,0.19,-3.0000,-3.0
3,1966,3,114.9,0.15,0.03,0.03,0.14,-3.000,0.202,4.29,2.23,1.403,0.33,-3.0000,-3.0
3,1966,4,66.1,0.20,0.02,0.04,0.09,-3.000,0.544,3.98,4.51,3.130,0.32,-3.0000,-3.0
3,1966,5,91.3,0.88,0.05,0.06,0.47,-3.000,0.345,4.03,5.23,2.369,0.95,-3.0000,-3.0
3,1966,6,105.8,0.13,0.03,0.07,0.10,-3.000,0.178,4.13,3.95,1.417,0.35,-3.0000,-3.0
3,1966,7,96.9,0.30,0.05,0.06,0.11,-3.000,0.144,3.87,6.05,2.123,1.67,-3.0000,-3.0
3,1966,8,193.4,0.14,0.02,0.01,0.05,-3.000,0.133,4.07,3.58,1.067,0.86,-3.0000,-3.0
3,1966,9,116.1,0.17,0.03,0.02,0.07,-3.000,0.118,4.24,2.73,0.997,1.20,-3.0000,-3.0
3,1966,10,82.4,0.31,0.03,0.02,0.10,-3.000,0.123,3.98,2.63,0.987,4.47,-3.0000,-3.0
3,1966,11,134.1,0.14,0.03,0.04,0.16,-3.000,0.180,4.00,2.40,1.489,2.93,-3.0000,-3.0
3,1966,12,99.4,0.04,0.01,0.02,0.07,-3.000,0.030,4.31,1.02,0.792,0.87,-3.0000,-3.0
3,1967,1,57.2,0.14,0.04,0.08,0.20,-3.000,0.265,4.07,3.14,2.559,0.60,-3.0000,-3.0
3,1967,2,99.1,0.06,0.02,0.10,0.11,-3.000,0.124,4.43,1.61,1.486,0.42,-3.0000,-3.0
3,1967,3,52.8,0.26,0.04,0.05,0.09,-3.000,0.307,4.08,3.77,2.102,0.61,-3.0000,-3.0
