ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
6,1963,6,9.3,1.71,0.33,0.10,1.05,-3.000,-3.000,5.06,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,7,2.0,1.71,0.35,0.12,1.20,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,8,4.7,1.73,0.36,0.14,1.21,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,9,0.7,1.66,0.40,0.23,1.43,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,10,3.0,1.67,0.41,0.55,1.60,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,11,99.6,1.90,0.40,0.45,0.84,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,12,56.9,1.40,0.34,0.26,0.78,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,1,57.5,1.44,0.35,0.19,0.89,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,2,19.2,1.47,0.35,0.21,0.93,-3.000,-3.000,4.83,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,3,97.8,1.84,0.37,0.25,0.75,-3.000,-3.000,4.80,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,4,265.7,1.40,0.31,0.23,0.68,0.261,-3.000,4.90,5.80,0.510,0.45,-3.0000,3.2
6,1964,5,82.3,1.27,0.31,0.16,0.74,0.175,0.029,4.78,5.94,0.303,0.37,-3.0000,3.6
6,1964,6,3.8,1.21,0.35,0.09,1.15,0.130,0.063,4.89,5.96,0.094,0.36,-3.0000,4.8
6,1964,7,6.7,1.09,0.34,0.09,1.05,0.203,0.042,5.06,6.27,0.061,0.53,-3.0000,5.4
6,1964,8,20.5,0.98,0.34,0.10,0.92,0.250,0.165,4.79,6.38,0.081,0.56,-3.0000,4.8
6,1964,9,3.1,1.05,0.36,0.06,1.11,0.183,0.050,4.99,6.48,0.051,0.49,-3.0000,5.8
6,1964,10,7.4,0.82,0.37,0.37,1.38,0.151,0.113,4.50,6.67,0.066,0.62,-3.0000,6.4
6,1964,11,60.7,0.86,0.43,0.26,0.93,0.211,0.063,5.05,6.34,0.313,0.69,-3.0000,4.7
6,1964,12,80.0,0.97,0.36,0.20,0.79,0.256,0.049,5.03,6.18,0.922,0.54,-3.0000,4.3
6,1965,1,26.8,0.88,0.36,0.46,0.88,0.310,0.055,4.44,6.19,1.039,0.77,-3.0000,4.6
6,1965,2,30.6,0.93,0.40,0.24,0.83,0.236,0.055,4.78,5.84,0.881,0.57,-3.0000,4.6
6,1965,3,37.9,1.03,0.41,0.19,0.95,0.231,0.037,4.72,5.97,0.908,0.77,-3.0000,4.5
6,1965,4,179.1,1.00,0.34,0.20,0.75,0.335,0.058,4.84,5.65,1.528,0.51,-3.0000,3.7
6,1965,5,39.9,1.04,0.31,0.20,0.81,0.316,0.032,4.85,6.01,0.443,0.52,-3.0000,4.0
6,1965,6,15.4,0.99,0.37,0.10,1.01,0.235,0.048,4.94,6.03,0.201,0.59,-3.0000,5.3
6,1965,7,5.0,1.13,0.36,0.08,1.11,0.225,0.026,4.96,6.23,0.061,0.43,-3.0000,5.4
6,1965,8,1.3,1.18,0.39,0.14,1.35,0.201,0.071,5.10,6.85,0.135,0.48,-3.0000,6.8
6,1965,9,46.2,1.41,0.38,0.08,1.12,0.231,0.079,5.02,6.93,0.070,0.52,-3.0000,6.2
6,1965,10,76.8,1.43,0.36,0.19,0.84,0.301,0.099,4.96,6.60,0.083,0.49,-3.0000,4.4
6,1965,11,91.8,1.42,0.38,0.18,0.87,0.254,0.479,4.89,6.79,0.226,0.74,-3.0000,4.3
6,1965,12,30.6,1.47,0.38,0.17,1.01,0.281,0.133,5.10,6.37,0.496,0.55,-3.0000,4.8
6,1966,1,33.9,1.49,0.41,0.17,0.97,0.284,0.082,4.83,6.62,0.722,0.63,-3.0000,4.6
6,1966,2,21.6,1.40,0.41,0.21,1.04,0.188,0.342,5.16,6.05,0.692,0.58,-3.0000,4.9
6,1966,3,114.7,1.44,0.41,0.22,0.85,0.264,0.111,5.02,5.83,1.227,0.62,-3.0000,3.9
6,1966,4,198.9,1.34,0.34,0.17,0.71,0.406,0.027,4.88,5.91,1.680,0.46,-3.0000,3.5
6,1966,5,120.2,1.27,0.31,0.19,0.71,0.382,0.049,4.84,6.12,0.729,0.62,-3.0000,3.6
6,1966,6,41.3,1.21,0.34,0.11,0.94,0.252,0.103,4.96,6.16,0.240,0.61,-3.0000,4.2
6,1966,7,8.8,1.29,0.39,0.08,1.09,0.253,0.029,5.10,6.45,0.200,0.69,-3.0000,5.6
6,1966,8,31.8,1.30,0.39,0.16,0.84,0.373,0.311,4.79,6.60,0.244,0.54,-3.0000,5.2
6,1966,9,26.8,1.16,0.36,0.04,0.98,0.141,0.093,4.94,6.49,0.133,0.52,-3.0000,6.1
6,1966,10,51.7,1.13,0.39,0.25,0.92,0.181,0.076,5.00,6.52,0.082,0.53,-3.0000,5.2
6,1966,11,137.7,1.23,0.33,0.17,0.80,0.262,0.026,4.97,6.24,0.147,0.54,-3.0000,5.2
6,1966,12,57.6,1.24,0.34,0.15,0.86,0.292,0.032,4.94,5.89,0.351,0.53,-3.0000,4.9
6,1967,1,25.7,1.35,0.39,0.17,0.99,0.234,0.044,5.03,5.59,0.831,0.52,-3.0000,4.9
6,1967,2,16.0,1.30,0.41,0.19,1.05,0.240,0.056,4.73,6.33,0.861,0.58,-3.0000,5.2
6,1967,3,42.9,1.34,0.40,0.25,0.92,0.293,0.056,5.03,5.64,1.305,0.52,-3.0000,4.4
6,1967,4,269.6,1.35,0.33,0.27,0.66,0.437,0.020,4.79,5.85,1.485,0.54,-3.0000,3.4
6,1967,5,136.3,1.22,0.31,0.20,0.73,0.353,0.005,4.88,6.23,0.358,0.55,-3.0000,3.7
6,1967,6,24.2,1.25,0.35,0.15,0.99,0.284,0.027,4.94,6.88,0.138,0.60,-3.0000,4.5
6,1967,7,12.7,1.27,0.35,0.09,1.16,0.152,0.050,4.83,6.74,0.095,0.59,-3.0000,5.4
6,1967,8,13.6,1.41,0.34,0.11,1.02,0.258,0.027,4.95,6.84,0.385,0.49,-3.0000,4.8
6,1967,9,36.1,1.29,0.34,0.11,1.12,0.235,0.038,5.05,6.88,0.124,0.54,-3.0000,4.6
6,1967,10,101.1,1.45,0.36,0.22,0.91,0.290,0.075,5.03,6.83,0.110,0.57,-3.0000,4.1
6,1967,11,77.1,1.43,0.37,0.19,0.88,0.320,0.063,5.02,6.98,0.493,0.64,-3.0000,3.9
6,1967,12,79.1,1.36,0.37,0.18,0.88,0.310,0.030,4.90,6.92,1.047,0.60,-3.0000,4.1
6,1968,1,18.0,1.17,0.38,0.18,1.09,0.243,0.010,5.02,7.08,1.033,0.57,-3.0000,5.0
6,1968,2,39.5,1.21,0.41,0.21,1.06,0.241,0.007,5.04,6.27,1.318,0.58,-3.0000,4.8
6,1968,3,189.4,1.33,0.38,0.29,0.96,0.373,0.006,4.93,5.60,2.721,0.56,-3.0000,3.7
6,1968,4,210.0,1.23,0.35,0.34,0.84,0.338,0.017,4.83,5.31,1.951,0.53,-3.0000,3.4
6,1968,5,149.2,1.11,0.36,0.30,0.90,0.299,0.006,4.91,6.03,0.647,0.54,-3.0000,3.4
6,1968,6,112.9,1.16,0.35,0.20,0.83,0.294,0.008,4.89,6.15,0.309,0.48,-3.0000,3.8
6,1968,7,15.8,1.09,0.33,0.12,0.99,0.278,0.005,4.91,6.21,0.210,0.47,-3.0000,4.4
6,1968,8,1.8,1.32,0.39,0.15,1.41,0.190,0.013,5.09,6.45,0.459,0.60,-3.0000,6.2
6,1968,9,3.8,1.23,0.39,0.19,1.47,0.083,0.065,5.13,6.20,0.398,0.62,-3.0000,6.2
6,1968,10,8.0,1.19,0.39,0.40,1.57,0.188,0.055,5.14,6.24,0.119,0.63,-3.0000,6.1
6,1968,11,33.4,1.37,0.45,0.35,1.24,0.213,0.037,4.95,6.29,0.744,0.72,-3.0000,5.2
6,1968,12,53.5,1.51,0.41,0.27,0.96,0.251,0.040,4.84,6.54,0.990,0.65,-3.0000,4.6
6,1969,1,26.1,1.37,0.38,0.23,1.03,0.208,0.026,4.96,6.01,0.999,0.51,-3.0000,4.9
6,1969,2,18.9,1.36,0.40,0.24,1.08,0.190,0.024,5.01,6.04,0.997,0.54,-3.0000,5.1
6,1969,3,31.8,1.42,0.42,0.24,0.98,0.116,0.010,5.02,5.93,1.353,0.60,-3.0000,4.8
6,1969,4,448.6,1.33,0.32,0.27,0.63,0.327,0.005,4.74,5.35,1.899,0.58,-3.0000,2.5
6,1969,5,142.5,1.24,0.29,0.25,0.78,0.378,0.032,4.77,6.00,0.713,0.54,-3.0000,2.9
6,1969,6,21.4,1.27,0.32,0.15,0.90,0.239,0.038,4.89,6.03,0.189,0.49,-3.0000,4.3
6,1969,7,68.0,1.43,0.29,0.17,0.54,0.026,0.083,4.78,5.99,0.391,0.46,-3.0000,3.8
6,1969,8,53.6,1.35,0.29,0.11,0.78,0.257,0.076,4.77,5.84,0.124,0.45,-3.0000,3.7
6,1969,9,6.9,1.22,0.34,0.12,1.18,0.208,0.036,5.00,6.63,0.131,0.45,-3.0000,5.5
6,1969,10,17.0,1.16,0.42,0.54,1.24,0.162,0.149,5.09,6.45,0.578,0.59,-3.0000,5.4
6,1969,11,119.1,1.60,0.40,0.29,0.91,0.309,0.035,4.82,5.52,1.711,0.61,-3.0000,4.5
6,1969,12,115.8,1.66,0.38,0.21,0.91,0.376,0.017,4.79,5.16,3.396,0.58,-3.0000,4.4
6,1970,1,24.5,1.66,0.41,0.23,1.01,0.322,0.019,4.83,5.58,3.339,0.54,-3.0000,5.0
6,1970,2,67.1,1.87,0.44,0.30,0.93,0.329,0.069,4.82,5.68,4.589,0.52,-3.0000,4.5
6,1970,3,28.0,1.71,0.44,0.26,0.98,0.265,0.018,4.90,5.39,3.835,0.46,-3.0000,4.9
6,1970,4,266.7,1.73,0.38,0.31,0.71,0.516,0.049,4.73,5.11,5.326,0.37,-3.0000,3.5
6,1970,5,81.6,1.61,0.35,0.31,0.78,0.430,0.013,4.73,5.08,3.126,0.40,-3.0000,3.9
6,1970,6,9.3,1.34,0.35,0.12,1.11,0.009,0.026,4.91,6.73,0.636,0.58,-3.0000,5.6
6,1970,7,10.1,1.31,0.35,0.10,1.07,-3.000,0.028,4.92,6.96,0.486,0.55,-3.0000,5.6
6,1970,8,15.0,1.45,0.41,0.49,1.14,-3.000,0.031,5.17,7.24,0.677,0.65,-3.0000,7.6
6,1970,9,35.5,1.39,0.40,0.14,1.07,-3.000,0.013,4.87,7.65,0.233,0.52,-3.0000,5.8
6,1970,10,76.8,1.33,0.37,0.22,0.81,-3.000,0.008,4.84,7.40,0.265,0.58,-3.0000,4.9
6,1970,11,80.0,1.57,0.36,0.20,0.87,-3.000,0.031,4.79,6.06,1.409,0.68,-3.0000,4.9
6,1970,12,40.6,1.64,0.39,0.18,0.93,-3.000,0.118,4.93,5.82,1.859,0.68,-3.0000,5.0
6,1971,1,22.8,1.58,0.42,0.20,1.01,-3.000,0.022,4.99,6.16,2.342,0.58,-3.0000,4.7
6,1971,2,35.9,1.56,0.43,0.20,0.93,-3.000,0.011,5.00,6.36,2.885,0.64,-3.0000,5.4
6,1971,3,33.5,1.61,0.43,0.22,0.96,-3.000,0.040,4.93,6.20,3.015,0.63,-3.0000,5.2
6,1971,4,266.6,1.53,0.33,0.22,0.66,-3.000,0.038,4.76,6.14,3.745,0.54,-3.0000,3.5
6,1971,5,202.2,1.30,0.27,0.21,0.58,-3.000,0.009,4.67,6.16,2.168,0.48,-3.0000,3.3
6,1971,6,10.8,1.34,0.33,0.12,0.94,-3.000,0.005,4.83,6.65,0.365,0.56,-3.0000,5.0
6,1971,7,8.5,1.35,0.37,0.11,1.09,-3.000,0.006,4.80,7.17,0.459,0.57,-3.0000,5.7
6,1971,8,14.8,1.28,0.35,0.09,1.01,-3.000,0.049,4.98,6.61,0.460,0.49,-3.0000,5.4
6,1971,9,10.5,1.20,0.36,0.11,1.16,-3.000,0.013,4.92,6.60,0.093,0.45,-3.0000,6.3
6,1971,10,41.4,1.31,0.39,0.22,1.02,-3.000,0.007,4.86,6.65,0.081,0.51,-3.0000,5.9
6,1971,11,22.1,1.37,0.40,0.17,1.00,-3.000,0.007,5.01,6.73,0.451,0.58,-3.0000,5.6
6,1971,12,48.8,1.51,0.41,0.19,0.91,-3.000,0.006,4.98,6.70,1.186,0.49,-3.0000,4.8
6,1972,1,32.6,1.53,0.41,0.17,0.91,-3.000,0.006,5.03,6.06,1.497,0.58,-3.0000,5.0
6,1972,2,22.1,1.51,0.42,0.22,0.99,-3.000,0.015,5.02,6.10,1.526,0.60,0.0010,5.4
6,1972,3,98.8,1.64,0.40,0.23,0.86,-3.000,0.005,4.91,6.00,2.685,0.56,0.0010,4.8
6,1972,4,213.3,1.51,0.34,0.25,0.68,-3.000,0.008,4.74,6.19,3.175,0.49,0.0010,3.9
6,1972,5,219.0,1.29,0.27,0.28,0.55,-3.000,0.013,4.68,5.96,2.616,0.36,0.0050,3.3
6,1972,6,56.1,1.26,0.29,0.13,0.79,-3.000,0.015,4.79,6.60,0.237,0.37,0.0020,4.6
6,1972,7,60.1,1.25,0.29,0.08,0.81,-3.000,0.034,4.80,6.47,0.197,0.50,0.0020,4.9
6,1972,8,48.4,1.31,0.29,0.10,0.78,-3.000,0.026,4.79,6.74,0.663,0.45,0.0030,4.5
6,1972,9,7.5,1.19,0.32,0.08,1.08,-3.000,0.015,4.89,7.69,0.266,0.50,0.0050,6.1
6,1972,10,28.2,1.25,0.38,0.43,1.08,-3.000,0.011,5.05,6.98,0.468,0.70,0.0010,5.5
6,1972,11,100.7,1.44,0.35,0.28,0.82,-3.000,0.005,4.87,6.70,1.224,0.69,0.0010,4.6
6,1972,12,61.0,1.44,0.33,0.18,0.86,-3.000,0.005,4.81,6.42,1.746,0.55,0.0010,4.6
6,1973,1,97.4,1.43,0.33,0.24,0.78,-3.000,0.006,4.70,6.00,2.406,0.73,0.0020,4.0
6,1973,2,84.0,1.46,0.32,0.23,0.78,-3.000,0.012,4.86,5.49,2.870,0.63,0.0010,4.3
6,1973,3,205.1,1.42,0.31,0.29,0.73,-3.000,0.030,4.69,5.49,3.030,0.92,0.0010,3.8
6,1973,4,138.0,1.28,0.28,0.24,0.68,-3.000,0.028,4.80,5.62,2.161,0.57,0.0030,3.2
6,1973,5,142.8,1.27,0.28,0.24,0.75,-3.000,0.025,4.77,6.20,1.150,0.51,0.0030,4.2
6,1973,6,276.9,1.24,0.25,0.21,0.58,-3.000,0.020,4.72,5.95,0.814,0.41,0.0030,3.5
6,1973,7,73.8,1.28,0.24,0.15,0.63,-3.000,0.034,4.72,6.07,0.537,0.38,0.0030,3.7
6,1973,8,10.7,1.29,0.32,0.08,1.09,-3.000,0.021,4.90,6.79,0.835,0.60,0.0020,5.6
6,1973,9,29.4,1.33,0.37,0.10,1.09,-3.000,0.029,4.99,7.20,0.901,0.46,0.0020,5.4
6,1973,10,41.8,1.34,0.39,0.23,0.97,-3.000,0.034,4.97,6.74,0.654,0.49,0.0030,5.3
6,1973,11,98.4,1.50,0.39,0.20,0.87,-3.000,0.037,4.94,6.22,2.246,0.50,0.0010,4.9
6,1973,12,271.9,1.43,0.31,0.22,0.62,-3.000,0.035,4.70,5.32,3.500,0.45,0.0030,3.0
6,1974,1,46.9,1.49,0.36,0.22,0.79,-3.000,0.022,4.86,5.97,3.325,0.43,0.0020,3.8
6,1974,2,39.9,1.54,0.40,0.23,0.82,-3.000,0.021,4.91,5.77,3.396,0.43,0.0020,4.5
6,1974,3,98.1,1.52,0.37,0.24,0.68,-3.000,0.032,4.93,5.47,3.800,0.43,0.0020,3.9
6,1974,4,265.4,1.33,0.29,0.26,0.54,-3.000,0.036,4.82,5.63,3.246,0.39,0.0020,3.1
6,1974,5,147.4,1.25,0.28,0.23,0.58,-3.000,0.036,4.89,6.06,1.658,0.36,0.0020,3.5
6,1974,6,52.2,1.25,0.30,0.21,0.72,-3.000,0.028,4.91,5.98,0.871,0.40,0.0020,3.8
6,1974,7,22.9,1.26,0.31,0.10,0.82,-3.000,0.025,4.91,5.98,0.416,0.41,0.0020,4.5
6,1974,8,16.4,1.26,0.33,0.08,0.92,-3.000,0.040,4.93,6.69,0.714,0.39,0.0020,5.1
6,1974,9,59.1,1.23,0.32,0.10,0.66,-3.000,0.032,4.93,7.19,0.253,0.31,0.0020,4.5
6,1974,10,37.7,1.22,0.34,0.24,0.78,-3.000,0.029,5.07,6.93,0.193,0.36,0.0020,4.7
6,1974,11,85.7,1.37,0.37,0.22,0.78,-3.000,0.010,5.06,6.34,1.212,0.39,0.0010,4.5
6,1974,12,80.6,1.40,0.35,0.23,0.71,-3.000,0.014,4.96,6.29,2.460,0.47,0.0020,4.3
6,1975,1,27.9,1.46,0.40,0.22,0.88,-3.000,0.010,5.01,5.60,2.557,0.46,0.0010,5.0
6,1975,2,21.8,1.49,0.43,0.23,0.97,-3.000,0.018,5.10,5.71,2.579,0.46,0.0020,5.1
6,1975,3,124.4,1.55,0.37,0.50,0.74,-3.000,0.022,4.97,5.68,4.418,0.84,0.0040,3.4
6,1975,4,208.2,1.43,0.33,0.25,0.69,-3.000,0.019,4.88,5.59,3.585,0.56,0.0020,3.5
6,1975,5,72.9,1.31,0.30,0.24,0.64,-3.000,0.020,4.78,5.84,2.340,0.49,0.0010,3.6
6,1975,6,94.3,1.23,0.31,0.11,0.71,-3.000,0.014,4.90,6.16,0.690,0.49,0.0030,4.4
6,1975,7,59.8,1.22,0.29,0.09,0.71,-3.000,0.017,4.83,6.50,0.462,0.46,0.0030,4.2
6,1975,8,6.5,1.20,0.32,0.09,1.12,-3.000,0.010,4.89,6.83,0.581,0.45,0.0030,5.8
6,1975,9,60.1,1.30,0.32,0.12,0.74,-3.000,0.010,4.89,6.62,0.138,0.32,0.0010,4.8
6,1975,10,119.8,1.31,0.29,0.18,0.64,-3.000,0.010,4.92,6.43,0.308,0.39,0.0030,4.2
6,1975,11,111.8,1.24,0.29,0.16,0.76,-3.000,0.020,4.97,6.10,1.225,0.44,0.0040,4.2
6,1975,12,55.4,1.39,0.32,0.13,0.78,-3.000,0.020,5.00,5.85,1.996,0.43,0.0030,4.2
6,1976,1,61.8,1.39,0.36,0.21,0.75,-3.000,0.014,4.95,5.64,3.423,0.46,0.0030,4.0
6,1976,2,84.9,1.37,0.34,0.20,0.74,-3.000,0.018,4.96,5.77,3.784,0.43,0.0030,4.1
6,1976,3,185.2,1.36,0.32,0.23,0.64,-3.000,0.014,4.90,5.49,4.326,0.37,0.0010,3.7
6,1976,4,191.2,1.28,0.29,0.26,0.58,-3.000,0.020,4.86,5.62,3.546,0.32,0.0030,3.5
6,1976,5,157.1,1.10,0.26,0.22,0.59,0.009,0.020,4.93,6.06,1.476,0.33,0.0030,3.7
6,1976,6,16.4,1.16,0.30,0.12,0.89,0.229,0.012,4.99,6.54,0.473,0.44,0.0040,4.8
6,1976,7,14.4,1.16,0.30,0.08,0.96,0.246,0.012,4.99,6.59,0.499,0.41,0.0030,5.2
6,1976,8,47.6,1.12,0.36,0.12,0.83,0.246,0.009,4.99,6.46,0.416,0.32,0.0020,4.7
6,1976,9,41.2,1.18,0.31,0.18,0.78,0.355,0.011,4.93,7.11,0.505,0.35,0.0030,4.5
6,1976,10,156.7,1.14,0.27,0.26,0.63,0.349,0.010,5.01,5.84,0.697,0.39,0.0020,4.1
6,1976,11,71.8,1.20,0.28,0.15,0.69,0.372,0.011,5.00,5.45,1.181,0.53,0.0010,4.2
