ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
2,1963,6,7.3,2.42,0.35,0.06,1.05,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1963,7,1.0,2.40,0.36,0.09,1.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1963,8,3.1,2.63,0.36,0.11,0.82,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1963,9,1.0,2.50,0.38,0.36,1.11,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1963,10,0.2,2.51,0.50,1.79,1.21,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1963,11,100.9,2.31,0.39,0.40,0.81,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1963,12,61.8,1.67,0.36,0.24,0.82,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1964,1,64.2,2.12,0.37,0.20,0.86,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1964,2,20.7,2.13,0.36,0.17,0.97,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1964,3,107.6,2.28,0.39,0.27,0.83,0.001,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
2,1964,4,265.7,2.11,0.34,0.27,0.72,0.227,0.034,5.38,5.92,1.337,0.58,-3.0000,3.4
2,1964,5,77.7,1.90,0.33,0.19,0.91,0.174,0.117,5.38,6.55,0.075,0.65,-3.0000,4.4
2,1964,6,3.6,1.75,0.35,0.08,1.07,0.139,0.016,5.26,6.28,0.021,0.40,-3.0000,4.9
2,1964,7,9.4,1.43,0.34,0.08,1.08,0.125,0.040,5.20,6.56,0.025,0.46,-3.0000,5.2
2,1964,8,15.8,1.43,0.34,0.08,1.08,0.125,0.040,5.20,6.55,0.025,0.46,-3.0000,5.2
2,1964,9,0.7,1.22,0.36,0.14,0.96,0.190,0.220,5.10,6.76,0.025,0.60,-3.0000,4.7
2,1964,10,4.3,1.18,0.37,0.15,0.98,0.173,0.240,5.07,6.85,0.028,0.67,-3.0000,4.7
2,1964,11,61.4,1.33,0.39,0.22,0.85,0.202,0.030,5.14,6.85,0.528,0.73,-3.0000,4.3
2,1964,12,82.0,1.34,0.38,0.16,0.84,0.197,0.023,4.77,6.91,1.047,0.62,-3.0000,4.3
2,1965,1,26.5,1.32,0.37,0.14,0.86,0.235,0.086,4.61,7.02,1.214,0.76,-3.0000,4.2
2,1965,2,31.3,1.34,0.39,0.17,0.91,0.186,0.047,5.00,6.66,1.268,0.64,-3.0000,4.2
2,1965,3,48.7,1.27,0.37,0.15,0.93,0.212,0.040,4.83,6.77,1.226,0.83,-3.0000,4.2
2,1965,4,185.7,1.47,0.37,0.21,0.84,0.237,0.068,5.07,6.06,2.059,0.50,-3.0000,3.8
2,1965,5,29.9,1.55,0.33,0.17,0.89,0.192,0.077,5.02,6.79,0.399,0.54,-3.0000,4.2
2,1965,6,13.6,1.50,0.35,0.08,1.03,0.180,0.027,5.28,6.83,0.260,0.61,-3.0000,5.0
2,1965,7,2.6,1.73,0.34,0.08,0.96,0.188,0.136,5.39,6.65,0.029,0.47,-3.0000,4.7
2,1965,8,0.1,1.75,0.34,0.09,0.96,0.225,0.025,5.21,6.96,0.037,0.42,-3.0000,4.9
2,1965,9,46.3,1.80,0.34,0.06,0.82,0.221,0.078,5.13,7.16,0.048,0.47,-3.0000,4.7
2,1965,10,84.9,1.95,0.33,0.13,0.78,0.269,0.115,5.12,7.27,0.062,0.48,-3.0000,4.1
2,1965,11,96.3,1.81,0.36,0.15,0.88,0.206,0.167,5.14,7.58,0.224,0.63,-3.0000,4.1
2,1965,12,33.0,1.89,0.37,0.13,0.97,0.244,0.126,5.18,7.22,0.433,0.64,-3.0000,4.4
2,1966,1,41.7,1.92,0.36,0.16,1.02,0.232,0.095,4.98,7.37,0.657,0.67,-3.0000,4.3
2,1966,2,30.6,1.85,0.38,0.16,1.06,0.162,0.109,5.21,6.91,0.594,0.61,-3.0000,4.4
2,1966,3,192.9,1.86,0.40,0.23,0.89,0.203,0.220,5.09,6.26,1.789,0.59,-3.0000,3.9
2,1966,4,155.8,1.78,0.37,0.26,0.80,0.256,0.101,4.88,6.54,1.563,0.47,-3.0000,3.8
2,1966,5,99.4,1.65,0.35,0.26,0.88,0.207,0.091,5.22,6.68,0.749,0.49,-3.0000,4.2
2,1966,6,84.1,1.86,0.40,0.37,1.10,0.155,0.125,5.22,6.48,2.486,0.59,-3.0000,4.6
2,1966,7,78.1,3.23,0.70,0.76,1.42,0.270,0.097,4.96,5.40,10.622,0.80,-3.0000,5.8
2,1966,8,148.3,6.99,1.46,2.07,1.66,0.995,0.187,4.61,3.76,36.885,1.08,-3.0000,6.8
2,1966,9,95.5,7.19,1.75,2.13,2.02,0.749,0.056,4.57,3.14,43.905,1.14,-3.0000,6.5
2,1966,10,74.4,7.89,1.89,2.05,2.11,1.505,0.070,4.52,3.00,51.783,1.06,-3.0000,6.6
2,1966,11,131.9,8.76,1.84,2.29,1.82,2.051,0.101,4.56,3.01,56.812,1.04,-3.0000,6.6
2,1966,12,56.6,8.00,1.81,2.07,1.81,2.039,0.065,4.52,3.03,54.300,0.91,-3.0000,5.7
2,1967,1,30.8,8.09,1.66,1.79,1.81,1.837,0.026,4.59,3.01,48.275,0.87,-3.0000,5.5
2,1967,2,18.0,7.57,1.59,1.86,2.23,1.959,0.025,4.60,2.97,44.163,0.86,-3.0000,5.5
2,1967,3,90.6,6.80,1.43,2.01,1.49,2.049,0.019,4.58,3.36,41.592,0.77,-3.0000,4.9
2,1967,4,278.8,6.15,1.16,2.29,1.05,1.923,0.037,4.52,4.01,38.928,0.76,-3.0000,4.4
2,1967,5,111.0,6.04,1.11,2.28,1.13,1.468,0.025,4.59,3.88,36.063,0.78,-3.0000,5.2
2,1967,6,51.8,6.52,1.19,2.36,1.51,1.362,0.072,4.47,4.35,38.313,0.75,-3.0000,6.2
2,1967,7,68.9,7.59,1.38,2.64,1.71,1.732,0.052,4.34,3.99,47.559,0.78,-3.0000,6.4
2,1967,8,92.3,10.13,1.83,3.61,1.73,2.450,0.023,4.31,3.44,66.124,0.84,-3.0000,6.2
2,1967,9,98.8,10.84,2.07,3.67,1.96,2.677,0.050,4.40,3.13,73.447,0.89,-3.0000,6.3
2,1967,10,129.5,11.20,2.07,3.80,1.76,3.182,0.140,4.49,3.19,78.392,0.82,-3.0000,6.4
2,1967,11,75.6,10.09,1.90,3.22,1.65,3.262,0.109,4.50,3.22,70.755,0.86,-3.0000,5.9
2,1967,12,85.8,8.04,1.69,2.69,1.51,2.227,0.026,4.41,4.30,61.363,0.78,-3.0000,5.7
2,1968,1,20.9,7.39,1.75,2.42,1.92,1.897,0.013,4.50,4.38,58.106,0.76,-3.0000,6.0
2,1968,2,41.6,7.00,1.67,2.39,1.84,1.853,0.005,4.45,3.58,52.386,0.75,-3.0000,5.9
2,1968,3,261.5,5.86,1.27,2.42,1.57,1.568,0.022,4.47,3.53,43.396,0.70,-3.0000,4.8
2,1968,4,154.5,5.14,1.09,2.84,1.07,1.396,0.105,4.50,4.12,36.806,0.64,-3.0000,5.1
2,1968,5,151.2,5.11,1.11,3.17,1.11,1.256,0.012,4.53,4.01,36.164,0.64,-3.0000,5.3
2,1968,6,142.3,5.00,1.06,3.40,1.10,1.137,0.008,4.50,4.41,34.368,0.57,-3.0000,5.9
2,1968,7,59.3,5.70,1.17,3.56,1.44,0.981,0.007,4.51,4.22,38.103,0.59,-3.0000,6.9
2,1968,8,27.8,7.25,1.37,3.37,1.99,1.174,0.157,4.50,3.66,44.710,0.66,-3.0000,7.6
2,1968,9,41.2,8.10,1.64,3.69,1.90,1.100,0.065,4.49,3.52,54.268,0.72,-3.0000,7.5
2,1968,10,34.5,8.63,1.78,3.39,2.06,2.134,0.060,4.46,3.40,59.674,0.75,-3.0000,7.3
2,1968,11,40.6,8.85,1.88,3.17,1.90,2.703,0.045,4.36,3.52,64.100,0.93,-3.0000,6.7
2,1968,12,81.2,9.74,1.82,3.08,1.46,2.853,0.034,4.34,3.57,64.463,0.84,-3.0000,6.4
2,1969,1,35.2,8.61,1.73,2.67,1.51,2.387,0.057,4.41,3.34,59.283,0.68,-3.0000,6.3
2,1969,2,26.7,8.04,1.72,2.63,1.64,2.226,0.062,4.44,3.42,56.325,0.68,-3.0000,6.3
2,1969,3,44.2,6.79,1.44,2.50,1.26,2.068,0.056,4.43,3.76,47.678,0.72,-3.0000,5.4
2,1969,4,505.0,4.90,0.92,2.54,0.73,1.504,0.059,4.41,4.66,33.611,0.61,-3.0000,3.7
2,1969,5,121.5,5.06,0.92,2.80,1.13,1.362,0.067,4.49,4.69,30.347,0.54,-3.0000,4.9
2,1969,6,52.5,5.76,1.03,3.24,1.19,1.301,0.100,4.45,4.59,35.699,0.56,-3.0000,6.4
2,1969,7,131.6,7.28,1.16,3.73,0.97,0.437,0.082,4.38,4.29,42.811,0.52,-3.0000,6.5
2,1969,8,113.8,7.12,1.15,3.58,1.17,1.179,0.048,4.41,4.31,43.078,0.51,-3.0000,6.9
